productId,Savings$,Sale_price$,Orig_price$,Item,description,productCategory,customerRating,numReviews,brand,initialQuantity,quantity,standardUpc,imageUrl
7FJ2Q9GXXLUQ,70.99,249.0,319.99,"Lenovo Chromebook 3 14""FHD Touchscreen Laptop, Intel Celeron N4020, 4GB RAM, 32GB eMMC HD, Chrome OS, Platinum Gray, 82C10007US",Merchandise,Laptop Computers,4.5,51.0,Lenovo,1393,1393,00194778319829,https://i5.walmartimages.com/asr/b4603cd2-13bd-42b1-b281-758dec778ce4.80c77b6dbddce2e96e0095256a0800ef.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
6MAG1CEA2Q74,20.0,79.99,99.99,"TCL Alto 6 32 2.0ch 120W Sound Bar, Black, TS6100-NA","Dolby DigitalStream Music WirelesslyLoud, clear sound in a compact design",Sound Bars,4.0,20.0,TCL,2608,2608,00846042017053,https://i5.walmartimages.com/asr/6981eb44-c54a-44b5-a772-b12e0e067fbf.793f4a1c8a461571c64cbfc1031baa2c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
5U28442GC348,23.49,59.0,82.49,"Seagate STHN2000400 2TB Backup Plus Slim Portable Drive USB 3.0, Black",Seagate Backup Plus Slim STHN2000400 2 TB Hard Drive - External - Portable,Hard Drives,4.5,126.0,Seagate,1182,1182,00763649132357,https://i5.walmartimages.com/asr/76c8e52c-f077-4ef6-a471-f07af3ead459_1.70aabbb984c117c096d00b2bebb9e0ee.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
68ZKC66CFHWP,20.11,29.88,49.99,"Walmart Family Mobile LG Rebel 4, 16GB, Black- Prepaid Smartphone","GSM-T5.0"" HD TFT (IPS) Display8MP Rear Camera with Auto Focus5MP Front Camera with Auto Shot",Cell Phones,4.1,165.0,LG,281,281,00616960274056,https://i5.walmartimages.com/asr/24c52c92-464c-4673-8082-de41e75b9c8b_4.1db183005774088575758a216830eda5.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
26KXNE3G280A,30.0,149.0,179.0,"AOPEN 24MH2Y Pbipx 23.8-inch Full HD (1920 x 1080) IPS Monitor with AMD FreeSync Premium Technology, Up to 165Hz, 2ms (G to G)","AOPEN's 23.8 inch monitor with Full HD 1080p resolution delivers the incredible. Crisp, true-to-life colors come alive with the amazing 1920 x 1080 resolution, allowing you to enjoy High-Definition",Computer Monitors,0.0,0.0,AOPEN,698,698,00193199921994,https://i5.walmartimages.com/asr/9b0b1d48-c319-46f1-9218-b3a19e820a99.dcd34120d672b978bec19487dc9bafae.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
45D0GLTO5TQA,80.0,99.0,179.0,"Total Wireless Samsung Galaxy A11, 32GB Black - Prepaid Smartphone",Total Wireless Tw Samsung A11 S115 Cdma,Cell Phones,3.2,22.0,SAMSUNG,368,368,00616960378785,https://i5.walmartimages.com/asr/976cc1ac-7bdd-4a3e-84ea-f3a6e720d8b3.69e3fc1624f33422f2b792ac27dfd10c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
6NO77UL0BU75,5.4,48.6,54.0,Logitech Comfort Wireless Combo Keyboard and Mouse,Compare with MK550 and MK570Comfort Wireless Combo,Computer Keyboard & Mouse Sets,4.3,369.0,Logitech,684,684,00097855141736,https://i5.walmartimages.com/asr/18aee4b8-2886-4093-8e91-fda21433eb37_1.e3c2c12b602ca06d9a84abc592d03c2e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
5Q8NO8KZ0WX2,166.95,260.0,426.95,NETGEAR - Orbi AC3000 Mesh WiFi System with Router and Satellite Extender (RBK50),"5,000 sq. ft. of WiFi CoverageConnect 25+ devices at onceBuffer-free streaming in every room, compatible with any Modem.",Network Routers,5.0,11640.0,NETGEAR,262,262,00606449116359,https://i5.walmartimages.com/asr/24d77d44-9f88-4858-80eb-623c084fe341_1.1ccd1c7aca653ae06b96a1331cc9ae1e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
4IZ3HY4E7UO5,140.0,159.0,299.0,"Simple Mobile Apple iPhone 7, 32GB, Black- Prepaid Smartphone",Simple Mobile Apple Iphone 7 32gb Black,Cell Phones,2.0,1.0,Apple,117,117,00616960310303,https://i5.walmartimages.com/asr/67e7e817-6bba-4528-b909-0a7eed351ed2_1.b2edffb5acd4adebf60a73434bc69721.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
500MCL9WMG78,70.0,229.0,299.0,"Acer 14"" Touchscreen Chromebook, Intel Celeron N4020, 4GB RAM, 32GB HD, Protective Sleeve, Wireless Mouse, Chrome OS, Silver, CB314-1HT-C934",Merchandise,Laptop Computers,4.4,68.0,Acer,1120,1120,00195133026291,https://i5.walmartimages.com/asr/8bc80475-8dbc-4d15-8e39-66a5f18ba60f.fd871f06dd742cdeb91a6fd00c7249ed.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
